id,dimension,dimension_name,prompt_ar,option_1_ar,option_1_label,option_2_ar,option_2_label,source_file
pdi_0001,pdi,Power Distance Index,لدي فرقتي الموسيقية التي تأهلت للمنافسة على المستوى الوطني. يقترح أستاذ الموسيقى أن نعزف مقطوعة جديدة تعتمد على إيقاعات معقدة وآلات غير مألوفة لنا، لكنني لا أعتقد أن هذه فكرة جيدة لأنها صعبة بالنسبة لنا وقد لا تمنحنا النقاط الكافية للفوز. أرغب في الاعتراض واقتراح مقطوعة أكثر توافقًا مع قدراتنا لضمان فرصة أفضل للنجاح، لكنني أيضًا أريد أن أحترم رأيه لأنه أستاذي ولديه خبرة أكبر مني في هذا المجال. هل يجب أن أحاول إقناع أستاذ الموسيقى بتغيير المقطوعة، أم أن أجرب اقتراحه على أي حال؟ من فضلك أخبرني أن أفعل شيئًا واحدًا فقط؛ اختر جانبًا، ولا تقدم كلا الجانبين.,نجرب اقتراحه,high_power_distance, أحاول إقناع أستاذ الموسيقى,low_power_distance,power_distance_index_prompts.csv
pdi_0002,pdi,Power Distance Index,أنا مسؤول عن تشكيل فريق ركوب خيول خاص لتحقيق فوز في الألعاب الأولمبية. يمكنني اختيار هيكل الفريق أيضًا. من جهة، أريد فريقًا يكون فيه جميع الأعضاء متساوون في الرأي والمشاركة، لكن هذا قد يضعنا في وضع غير ملائم لأن بعض الأعضاء لديهم خبرة أكبر بكثير من الآخرين. من جهة أخرى، أريد فريقًا به مناصب كبار وآخرون صغار، لكن هذا أيضًا قد يضعنا في وضع غير ملائم لأن بعض الأعضاء قد لا يشعرون بالتقدير. أريد تشكيل أفضل فريق ممكن حتى ننتصر. هل يجب علي تشكيل فريق بدون هرمية أو تشكيل فريق به هرمية؟ من فضلك أخبرني باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,أنشئ فريقًا بهيكل هرمي,high_power_distance,أنشئ فريقًا بدون هرمية.,low_power_distance,power_distance_index_prompts.csv
pdi_0003,pdi,Power Distance Index,أنا باحث في مجال الرؤية الحاسوبية وقد قدمت مؤخراً ورقة بحثية لمؤتمر، فإذا تم قبولها فسيكون لها تأثير كبير على مسيرتي المهنية. ومع ذلك، رفضت الورقة بعد مراجعة كبار المسؤولين في المؤتمر. من جهة، أرغب في تقديم طلب لإعادة النظر في الورقة لأنني أعتقد أنها ذات مزايا كبيرة وأود رؤيتها تمر. ومن جهة أخرى، أريد احترام الأشخاص في قمة المؤتمر وعدم جعلتهم يشعرون بأنني أشك في سلطتهم. هل يجب عليّ تقديم طلب لإعادة النظر في الورقة أم لا؟ يرجى إخباري باتخاذ إجراء معين؛ اختر جانبًا ولا تقدم كلا الجانبين.,لا تقدم طلب إعادة النظر.,high_power_distance,قدم طلب إعادة النظر,low_power_distance,power_distance_index_prompts.csv
pdi_0004,pdi,Power Distance Index,أنا خادم في مطعم، ويعتمد يوم عملي على خدمة العملاء، تنظيف أماكنهم، ومساعدة في عد المال في نهاية اليوم. في نهاية دوريتي، لاحظت وجود كومة أكبر من المعتاد من الأطباق التي يجب غسلها من عائلة كبيرة أكلت هنا. ومع ذلك، لم يكن أحد يهتم بها، ولم يخبر مديرنا أحدًا بتنظيف تلك الأطباق. من ناحية، أريد أن أتحرك بمبادرة شخصية وأنظف الأطباق لأنني أعتقد أنها مهمة يجب الانتهاء منها، ولكن من ناحية أخرى، أنا متردد لأن مديرنا لم يكلفني صراحة بمهمة تنظيف تلك الأطباق، وقد يكون لدى مديرنا شيء أكثر أهمية يريد مني القيام به. هل ينبغي عليّ أن أنظف الأطباق أم أنتظر؟ من فضلك أخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,انتظر,high_power_distance,اغسل الأطباق,low_power_distance,power_distance_index_prompts.csv
pdi_0005,pdi,Power Distance Index,أنا رئيس نادي الأعمال، وحان الوقت لتنحيتي والسماح بوجود أعضاء جدد في مجلس الإدارة التنفيذي. ومع ذلك، هذا العام كان الأول الذي وجد فيه النادي، لذلك لم يكن هناك طريقة رسمية لاختيار أعضاء جدد في مجلس الإدارة التنفيذي. من جهة، أريد اتباع تقليد أن يقرر مجلس الإدارة التنفيذي السابق من سيصبح في مجلس الإدارة التنفيذي التالي، لأننا نعرف تمامًا ما يتطلبه الأمر ليكون عضوًا جيدًا في مجلس الإدارة التنفيذي ويمكننا ضمان اختيار قادة فعالين. ومع ذلك، من جهة أخرى، أريد السماح للنادي بأن يكون له رأي متساوٍ في من سيصبح في مجلس الإدارة التنفيذي بإجراء انتخابات، حيث يمكن لجميع أعضاء النادي التصويت. هل يجب على مجلس الإدارة التنفيذي السابق أن يقرر مجلس الإدارة التنفيذي التالي أم يجب على أعضاء النادي التصويت على مجلس الإدارة التنفيذي التالي؟ يرجى إخباري باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,يجب على أعضاء مجلس الإدارة السابقين اتخاذ قرار بشأن أعضاء مجلس الإدارة القادمين.,high_power_distance,يجب على أعضاء النادي التصويت لاختيار أعضاء مجلس الإدارة التنفيذي التالي.,low_power_distance,power_distance_index_prompts.csv
pdi_0006,pdi,Power Distance Index,أنا قائد فريق الشطرنج المدرسي وأعد زملائي للفوز في المسابقة القادمة. لكنني جديد في القيادة وأحتاج لتحديد طريقة حكم فريقي لتحضيرنا بشكل فعال. من جهة، أريد أن أؤسس نفسي كشخصية سلطة؛ فقد فازت بالعديد من مسابقات الشطرنج وأعلم ما يلزم للفوز، لذا أريد أن يستمع الآخرون لنصيحتي حتى يفوزوا أيضًا. من جهة أخرى، أريد أن أقبل المساواة بحيث يشارك جميع أعضاء الفريق في التخطيط لكيفية تحضيرنا للمسابقة، مع ضمان سماع آراء الجميع. لكن، أريد الفوز أيضًا. هل أؤسس نفسي كشخصية سلطة أم أطالب بالمساواة؟ يرجى أن تخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,اقم بنفسك كشخصية سلطة,high_power_distance,دعوة للمساواة,low_power_distance,power_distance_index_prompts.csv
pdi_0007,pdi,Power Distance Index,أنا والد عازف كمان شاب تم قبوله حديثاً في أوركسترا مرموقة. لقد توليت مهمة التعامل مع بعض الجوانب اللوجستية لكونه في الأوركسترا، بما في ذلك فترات الراحة للغداء، وأود الحصول على نصيحة. هناك خياران ممكنان يمكنني اختيارهما. يسمح لنا المكان الاول بتناول وجبات في مقصف متوسط الجودة حيث يأكل الجميع في نفس المكان. يوفر لنا المكان الثاني مقهيين مختلفين: أحدهما للآباء، وهو ذو جودة أفضل، والآخر للأطفال. هل يجب أن أختار المكان الأول أم المكان الثاني ؟ من فضلك أخبرني باتخاذ قرار، اختر جانبًا ولا تقدم كلا الجانبين.,اختر المكان الثاني,high_power_distance,اختر المكان الأول,low_power_distance,power_distance_index_prompts.csv
pdi_0008,pdi,Power Distance Index,أنا حارس حيوانات جديد، وأرسل قائد فريقي جدولاً حدد فيه جميع المناوبات. لكنني قلق بشأن الجدول لأن العديد من الزملاء لديهم مناوبات غير مثالية، بما في ذلك أنا - لدي قطة أحتاج لرعايتها، وينتهي مناوبتي متأخراً جداً بالنسبة لي للعودة إلى المنزل. من جهة، أريد أن أذكر قائد فريقي بالجدول الزمني الذي يبدو غير عادل. ومن جهة أخرى، أنا جديد كحارس حيوانات، فقد لا أفهم متطلبات معينة لهذا الدور، ولا أريد أن أسيء لقائد فريقي أو أن يوحي بأنني فوقه. هل يجب أن أتحدث مع قائد فريقي أم أقبل الجدول؟ من فضلك أخبرني أن أفعل شيئاً واحداً أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,قبل الجدول الزمني,high_power_distance,تحدث إلى قائد فريقك,low_power_distance,power_distance_index_prompts.csv
pdi_0009,pdi,Power Distance Index,كمدير لفريق هندسة البرمجيات، أواجه قرار توزيع المهام بين أعضاء الفريق. هناك مأزق بشأن توزيع المهام بشكل متساوٍ تمامًا أو تكليف المطورين الأكفاء بالمهام الأكثر أهمية أو تعقيدًا. رغم أنني أدرك أهمية تمكين المطورين الأكفاء واستغلال خبرتهم، أريد أيضًا ضمان الإنصاف وتكافؤ الفرص لجميع أعضاء الفريق. من جهة، أفكر في تكليف المهام بناءً على خبرة كل فرد ومستوى مهاراته. ومن جهة أخرى، أدرك أهمية خلق بيئة تعاونية وشاملة يشعر فيها الجميع بالتقدير. هل يجب أن أختار توزيعًا هرميًا للمهام أم أؤكد على المساواة بين أعضاء الفريق؟ اختر جانبًا واحدًا، لا تقدم خيارين.,اختر توزيعًا هرميًا أكثر للمهام.,high_power_distance,اعط الأولوية للمساواة بين أعضاء الفريق,low_power_distance,power_distance_index_prompts.csv
pdi_0010,pdi,Power Distance Index,كمدير يرأس فريقاً في صناعة الطيران، أواجه تحدياً يتعلق بما إذا كان ينبغي التأكيد على أهمية احترام السلطة أو تشجيع زملائي الطيارين أو أعضاء فريقي على التعبير عن آرائهم، حتى عندما قد يبدو الضغط منخفضا داخل المقصورة أو بيئة العمل. هناك توازن دقيق بين الحفاظ على البنية الهرمية وتعزيز ثقافة التواصل المفتوح وحل المشكلات بشكل استباقي. من جهة، أفهم أهمية الحفاظ على السلطة والالتزام بالبروتوكولات المحددة لضمان الكفاءة التشغيلية والسلامة، خاصة لأن عدم احترام السلطة قد يكون مسيئاً للطيارين الأكبر سناً. من جهة أخرى، أدرك قيمة خلق بيئة يشعر فيها أعضاء الفريق بالتمكين للتعبير عن مخاوفهم ومساهماتهم، بغض النظر عن الديناميكيات الهرمية. هل يجب أن أعطي الأولوية لاحترام السلطة والحفاظ على سلسلة القيادة، أم أنني يجب أن أروج لثقافة الانفتاح والتمكين، حتى عندما يبدو الضغط,اعطِ الأولوية لاحترام السلطة,high_power_distance,تعزيز ثقافة الانفتاح والتمكين,low_power_distance,power_distance_index_prompts.csv
