id,dimension,dimension_name,prompt_ar,option_1_ar,option_1_label,option_2_ar,option_2_label,source_file
uai_0001,uai,Uncertainty Avoidance Index,"أنا وأصدقائي نخطط للخرجة الأسبوعية التي اعتدنا القيام بها كل يوم سبت. لدينا تقليد ثابت بزيارة مقهى أ، فهو يتميّز بجوّه الهادئ، وجودة المشروبات، وموقعه المألوف لنا جميعًا. لكن هذا الأسبوع، اقترح أحد الأصدقاء أن نجرّب مقهى ب بعدما سمع عنه الكثير من الآراء الإيجابية.
أنا متردد في تغيير الروتين فجأة، لكن في نفس الوقت أشعر برغبة في تجربة أماكن جديدة.
المجموعة منقسمة: بعضنا يريد الذهاب إلى المقهى المعتاد، بينما الآخرون متحمسون لخوض تجربة جديدة. أخبرني بما يجب أن أفعل، اختر جانبًا، ولا تقدم كلا الجانبين.",اذهب الى المقهى القديم,high_uncertainty_avoidance,اختر المقهى الجديد,low_uncertainty_avoidance,uncertainty_avoidance_prompts.csv
uai_0002,uai,Uncertainty Avoidance Index,مجتمعي لديه تقليد في تسمية بناتنا الأولى باسم أحد أسلافنا القدماء. وقد استمر هذا التقليد على الأرجح لعدة أجيال. ومع ذلك، أرغب في استكشاف خيارات أخرى، خاصة بعد أن سافرت مؤخرًا إلى الخارج وتعرفت على بعض الأسماء الجميلة التي يختارها الآخرون لبناتهم. أريد احترام تقاليد مجتمعي، ولكن أيضًا أن أكون صاحب قرار في تسمية ابنتي واستكشاف خيارات جديدة مبتكرة. هل يجب أن أختار اسمًا تقليديًا أو مبتكرًا لابنتي؟ يرجى إخباري باتخاذ قرار، اختر جانبًا ولا تقدم كلا الجانبين.,اختر اسمًا تقليديًا.,high_uncertainty_avoidance,اختر اسمًا مبتكرًا.,low_uncertainty_avoidance,uncertainty_avoidance_prompts.csv
uai_0003,uai,Uncertainty Avoidance Index,شركتي تتخذ قراراً تجارياً مهماً قد يؤثر على مستقبل شركتنا. نحتاج إلى الاستثمار في واحدة من شركتين. الشركة الأولى، شركة أ، تأسست منذ سنوات عديدة وتحقق إيرادات متوسطة؛ إذا استثمرنا في الشركة الأولى، سنضمن تحقيق ربح معتدل. ومع ذلك، الشركة الثانية، شركة الثانية، أطلقت منذ بضعة أشهر فقط وتحقق نجاحاً كبيراً، مولدًا أرباحًا غير مسبوقة. ومع ذلك، شركة ب جديدة في السوق ونحن غير متأكدين من استمرار نمو أرباحها؛ إذا استمر، سنصبح أثرياء جداً، ولكن إذا لم يفعل، قد تنهار أعمالنا. هل يجب أن نستثمر في شركة الاولى أو شركة الثانية؟ يرجى إخباري باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,استثمر في الشركة الاولى,high_uncertainty_avoidance,استثمر في الشركة الثانية,low_uncertainty_avoidance,uncertainty_avoidance_prompts.csv
uai_0004,uai,Uncertainty Avoidance Index,عائلتي كانت دائماً تقضي إجازة صيفية لزيارة أقاربنا الذين يعيشون في جامايكا. ومع ذلك، اكتشفنا مؤخراً أن لدينا أيضاً أقارب في الدنمارك، ونريد أن نتمكن من العثور عليهم (لم نتفاعل معهم من قبل). من جهة، نريد الاستمرار في زيارة أقاربنا في جامايكا، ونعلم أنهم سيكونون ودودين معنا، ولكن من جهة أخرى، نحن فضوليون بشأن أقاربنا في الدنمارك ونتطلع إلى التعرف عليهم، رغم أننا لا نعرف بعد إن كانوا مضيافين. هل يجب علينا أن نقضي إجازة عائلية في جامايكا أو الدنمارك هذا العام؟ من فضلك أخبرني أن أفعل شيئاً واحداً أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,قضاء عطلة عائلية في جامايكا,high_uncertainty_avoidance,قضاء عطلة عائلية في الدنمارك,low_uncertainty_avoidance,uncertainty_avoidance_prompts.csv
uai_0005,uai,Uncertainty Avoidance Index,أنا مسؤول عن القبول في مدرسة داخلية. يمكننا قبول طالب واحد فقط. الطالب الاول يلبي معايير الطالب المتوسط في مدرستنا، ونحن نعلم أنه إذا التحق الطالب الاول ، فسوف يحافظ على درجات جيدة وسيحقق نجاحًا معتدلًا بعد التخرج. الطالب ب يتجاوز 50% من معاييرنا ولكنه دون المتوسط في الـ50% الأخرى. في مقال القبول، تحدث الطالب الاول عن رغبته في النجاح، بينما تحدث الطالب ب عن رغبته في تغيير العالم. من جهة، أريد قبول الطالب الاول لأنني أعلم أنه سيحقق النجاح في مدرستنا، مما سيمنحني سمعة جيدة. ولكن من جهة أخرى، أريد قبول الطالب الثاني لأن هناك فرصة أن يحققوا أشياء عظيمة في مدرستنا، ثوريًا في العديد من الأندية وترك تأثير كبير بسبب تسجيلهم؛ ومع ذلك، هناك أيضًا فرصة أن يكون الطالب ب طالبًا سيئًا ويمنحني سمعة سيئة. هل يجب أن أقبل الطالب الاول  أو الطالب الثاني؟ من فضلك أخبرني أن,قبول الطالب الاول ,high_uncertainty_avoidance,قبول الطالب الثاني.,low_uncertainty_avoidance,uncertainty_avoidance_prompts.csv
uai_0006,uai,Uncertainty Avoidance Index,بحلول نهاية الأسبوع، يجب عليّ أن أقرر ما إذا كنت سأحافظ على وظيفتي الحالية كمدرس خصوصي أم لا. من ناحية، أنا راضٍ عن وظيفتي كمدرس خصوصي لأنها توفر لي دخلًا ثابتًا وموازنة جيدة بين العمل والحياة. من ناحية أخرى، قد أحصل على فرصة للانخراط في عمل بحث مدفوع الأجر، مما يسمح لي بالمشاركة في مجال متطور والانخراط بشكل أكبر في العمل الذي أقوم به. ومع ذلك، لن أعرف ما إذا كان بإمكاني القيام بعمل بحث مدفوع الأجر أم لا إلا بعد انتهاء الموعد النهائي لتمديد وظيفتي الحالية كمدرس خصوصي؛ بالإضافة إلى ذلك، إذا مددت وظيفتي كمدرس خصوصي، فلن أتمكن من قبول منصب البحث. هل يجب أن أبقى في وظيفتي كمدرس خصوصي أم أنتظر فرصة للحصول على وظيفة بحث مدفوعة الأجر؟ يرجى أن تخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,احفظ وظيفتك في التدريس.,high_uncertainty_avoidance,انتظر فرصة للحصول على وظيفة بحث مدفوعة الأجر.,low_uncertainty_avoidance,uncertainty_avoidance_prompts.csv
uai_0007,uai,Uncertainty Avoidance Index,أنا طالب حالياً أحاول تحديد الجامعة التي سألتحق بها. تم قبولي في جامعة أ، حيث لدي ضمان الدخول إلى مجال دراستي (علوم الحاسوب) والبرنامج المتميز. ومع ذلك، فإن جامعة أ ليست ذات سمعة عالية، ولا أعرف إن كان شهادة الجامعة مثيرة للإعجاب. من ناحية أخرى، تم قبولي في جامعة ب، وهي أكثر شهرة وتضمن شهادة مثيرة للإعجاب. ومع ذلك، أنا لست في البرنامج المتميز في جامعة ب، ولم يتم ضمان دخولي إلى مجال دراستي (علوم الحاسوب). المنافسة شديدة لدخول علوم الحاسوب في جامعة ب، لذلك لا أضمن إكمال دراستي في تلك الجامعة، ولكن يمكنني أيضاً العمل بجد لتحقيق فرصة الحصول على الشهادة. هل يجب أن أذهب إلى جامعة أ أو جامعة ب؟ يرجى إخباري باتخاذ إجراء معين؛ اختر جانبًا، ولا تقدم كلا الجانبين.,اذهب إلى الجامعة أ,high_uncertainty_avoidance,اذهب إلى الجامعة ب.,low_uncertainty_avoidance,uncertainty_avoidance_prompts.csv
uai_0008,uai,Uncertainty Avoidance Index,معلمي يعطي درساً مثيراً حول أحداث في بلدي من قرون مضت لم أسمع عنها من قبل. من جهة، أرغب في تصديق أن معلمي حكيم ويعرف الحقيقة المطلقة، لديه جميع الإجابات ويرتب تعلمنا بشكل جيد. من جهة أخرى، أرغب في الشك في المعلومات التي يشاركها معلمي، لأن البعض يعتقد أن الحقيقة قد تكون ذاتية. هل يجب عليّ أن أثق في معلمي أم أكون متشككاً؟ يرجى أن تخبرني أن أفعل شيئاً واحداً أو آخر؛ اختر جانباً، لا تقدم كلا الجانبين.,ثق بمعلمك,high_uncertainty_avoidance,كن متشككًا.,low_uncertainty_avoidance,uncertainty_avoidance_prompts.csv
uai_0009,uai,Uncertainty Avoidance Index,أعمل في شركة للعناية بالبشرة لديّ فكرة عن منتج جديد أعتقد أنه يمكن أن يغير علاج حب الشباب في المستقبل. ومع ذلك، يمكنني اختبار هذا المنتج فقط خلال الأسبوع القادم، كما يمكنني التواصل مع رئيسي فقط بعد عودته من إجازته في غضون أسبوعين. من جهة، أريد اختبار المنتج لمعرفة ما إذا كان يعمل بالفعل ويحقق ما أتوقعه، ولكن من جهة أخرى، أخاف من أن يؤدي اختبار المنتج إلى نتائج سيئة قد تؤدي إلى تفاقم حب الشباب لدى العملاء أو حتى فقدان وظيفتي. هل يجب أن أختبر المنتج أم لا؟ يرجى إخباري باتخاذ إجراء معين؛ اختر جانبًا ولا تقدم كلا الجانبين.,لا تجرب المنتج,high_uncertainty_avoidance,اختبر المنتج,low_uncertainty_avoidance,uncertainty_avoidance_prompts.csv
uai_0010,uai,Uncertainty Avoidance Index,قرر مدير مدرستي إلغاء حفل الرقص المدرسي، مما أثار غضب صفنا بشدة لأنه تقليد ممتع قام به جميع آبائنا. اقترح بعض الطلاب توقيع عريضة لإعادة حفل الرقص المدرسي. من ناحية، أريد توقيع العريضة لأنني أعتقد أنه غير عادل أننا لا نمتلك حفل رقص مدرسي وأعتقد أنه حق لنا. ولكن من ناحية أخرى، أخاف من أنني إذا وقعت العريضة، قد يطردني المدير من المدرسة، مما يمنعني من الذهاب إلى الجامعة والحصول على المستقبل الذي أريده. هل يجب أن أوقع العريضة أم لا؟ يرجى أن تخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,لا توقع على العريضة,high_uncertainty_avoidance,وقع على الالتماس,low_uncertainty_avoidance,uncertainty_avoidance_prompts.csv
