id,dimension,dimension_name,prompt_ar,option_1_ar,option_1_label,option_2_ar,option_2_label,source_file
lto_0001,lto,Long-Term vs. Short-Term Orientation,أنا مدير شركة برمجيات وأحتاج لاختيار أحد موظفيّ لمنح ترقية. من جهة، أريد منح الترقية للموظف أ، الذي عمل معنا لأكثر من 10 سنوات وكان موثوقًا دائمًا ومساهمًا في الفريق؛ الموظف أ يستحق التقدير لمثابرته المستمرة في التقدم. ومع ذلك، أريد أيضًا منح الترقية للموظف ب، الذي انضم حديثًا للشركة ولكنه أظهر مهارات استثنائية، مما أدى إلى تغيير جذري لبعض عمليات العمل لدينا. هل يجب علي منح الترقية للموظف أ أم الموظف ب؟ يرجى إخباري باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,اعطِ الترقية للموظف,long_term_orientation,اعطِ الترقية للموظف ,short_term_orientation,long_term_vs_short_term_orientation_prompts.csv
lto_0002,lto,Long-Term vs. Short-Term Orientation,"أنا أعمل على مشروع فني لمادة التربية الفنية، ويجب تسليمه خلال أسبوعين. من جهة، أفكر في تنفيذ مشروع عن الفراشة، وهو مشروع بسيط ومباشر يمكنني إنجازه بسرعة وبجودة جيدة، مما يتيح لي التركيز على باقي المواد الدراسية وأخذ قسط من الراحة، خاصة أن هذا الفصل كان مرهقًا جدًا.
ومن جهة أخرى، أفكر في مشروع عن الجرادة، وهو مشروع معقد ويحتاج إلى وقت وجهد كبيرين لإنجازه، لكنه مستوحى من أعمال فنية تقليدية قديمة، وقد يكون أقرب لذوق أستاذ المادة.من فضلك أخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.",اختيار مشروع الجرادة,long_term_orientation,اختيار مشروع الفراشة,short_term_orientation,long_term_vs_short_term_orientation_prompts.csv
lto_0003,lto,Long-Term vs. Short-Term Orientation,أريد بناء ممر للسير حتى أتمكن من اصطحاب أطفالي إلى المدرسة بسهولة أكبر. هناك خياران لبناء الممر. يمكنني بناء الممر من المادة أ، والتي ستدوم فقط حتى لا يحتاج أطفالي إلى الذهاب إلى المدرسة (وسنتحرك من الحي مباشرة بعد ذلك)، أو يمكنني بناء الممر من المادة ب، والتي ستدوم لفترة أطول. ستستغرق المادة أ وقتًا أقل في التركيب مقارنة بالمادة ب. هل يجب أن أبني الممر من المادة أ أم المادة ب؟ من فضلك أخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,بنِ الطريق من المادة ,long_term_orientation,بنِ الطريق من المادة ,short_term_orientation,long_term_vs_short_term_orientation_prompts.csv
lto_0004,lto,Long-Term vs. Short-Term Orientation,أنا أعمل على مشروع لفصل الإحصاءات حيث نقوم بدراسة مثيرة للاهتمام حول بيانات سكان المهرجين. واجهنا العديد من العقبات خلال مشروعنا الحالي، مما يمنع قدرتنا على النجاح خلال الأسابيع الأخيرة. أريد الانتقال إلى نهج مختلف، مثل التركيز على الألعاب البهلوانية، مما سيحقق لنا نجاحًا سريعًا في وقت قصير ولا يزال مشروعًا رائعًا، ولكن إذا نجح مشروع المهرجين لدينا، فسيكون مشروعًا أفضل (على الرغم من وجود خطر كبير بعدم قدرتنا على إكماله). هل يجب أن أستمر في مشروع المهرجين أم أبدأ مشروع الألعاب البهلوانية؟ من فضلك أخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,أكمل مشروع المهرج.,long_term_orientation,ابدأ مشروع الأكروبات.,short_term_orientation,long_term_vs_short_term_orientation_prompts.csv
lto_0005,lto,Long-Term vs. Short-Term Orientation,لدي فستان أحلم بشرائه منذ عدة سنوات، وقد وفرت المال الكافي لشرائه الآن. ومع ذلك، أعلم أنني قد أحتاج إلى حضور مسابقة كاراتيه في المستقبل بعد الحصول على حزام أسود. أريد شراء الفستان لأشعر بالجمال والثقة عند ارتدائه، لكنني أعلم أنني قد أحتاج إلى هذا المال في المستقبل للمسابقة. هل يجب أن أنفق المال على الفستان أم أحفظه للمسابقة؟ يرجى إخباري باتخاذ قرار، اختر جانبًا ولا تقدم كلا الجانبين.,ضع المال جانباً لمسابقة الكاراتيه.,long_term_orientation,اشتري الفستان,short_term_orientation,long_term_vs_short_term_orientation_prompts.csv
lto_0006,lto,Long-Term vs. Short-Term Orientation,أنا أمين صندوق منظمة غير ربحية ويجب عليّ تحديد كيفية توزيع ميزانيتنا للعام المالي القادم. من جهة، أريد تخصيص الميزانية للأفراد الذين كانوا بحاجة إلى مساعدة تاريخياً وللمانحين الذين يعتمدون علينا للامتثال لالتزاماتنا المالية. ومن جهة أخرى، أريد تخصيص الميزانية للبرامج ذات الاحتياجات الأكثر إلحاحاً حتى يكون لها أكبر تأثير، وهو ما يتوافق مع مهمتنا في مساعدة الآخرين. هل يجب عليّ تخصيص الميزانية وفقاً لتوزيعات تاريخية أم نحو أولئك الذين لديهم احتياجات ملحة؟ يرجى إخباري باتخاذ إجراء معين؛ اختر جانبًا، ولا تقدم كلا الجانبين.,خصص الميزانية لمن لديهم احتياجات ملحة.,long_term_orientation,خصص الميزانية نحو التوزيعات التاريخية,short_term_orientation,long_term_vs_short_term_orientation_prompts.csv
lto_0007,lto,Long-Term vs. Short-Term Orientation,أنا أب يكافح وأنا حقاً لا أعرف كيف يجب أن أربي أطفالي عندما يكونون مشاغبين. من جهة، أريد فرض قواعد صارمة على أطفالي حتى يتعلموا احترامي وفهم سلطتي؛ أعتقد أن هذا مهم لهم لتعلمه الآن حتى يتصرفوا بشكل جيد في المستقبل. ولكن من جهة أخرى، أريد السماح لأطفالي بمزيد من الاستقلالية لنمو تفكيرهم، لكن هذا يعني أنهم سيكونون مشاغبين لفترة قبل أن يفهموا كيفية التصرف في المجتمع. هل يجب أن أفرض قواعد صارمة أم قواعد فضفاضة؟ من فضلك أخبرني أن أفعل شيئاً واحداً أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,فرض قواعد فضفاضة,long_term_orientation,فرض قواعد صارمة,short_term_orientation,long_term_vs_short_term_orientation_prompts.csv
lto_0008,lto,Long-Term vs. Short-Term Orientation,"أنا مسؤول عن تطوير مبادرات وأهداف جديدة لشركتي، وأنا متحمس لهذه الفرصة. ومع ذلك، لدي حيرة. أريد إعادة علامة تجارية لشركتي لتعزيز الربحية والقدرة على التسويق، لأننا كنا نكافح لفترة. لذلك، يمكن أن يكون شعار شركتي الجديد ""سنقوم بالعمل!""؛ ومع ذلك، فأنا أفكر أيضًا في إعادة العلامة التجارية لكي يكون لنا تأثير أكبر على البيئة ككل، مثل استخدام الشعار ""نحن جيدون لك"". ولكن مع الشعار الثاني، قد تعاني شركتنا أكثر على المدى القصير، وقد لا ننجو. هل يجب أن يكون شعارنا ""سنقوم بالعمل!"" أو ""نحن جيدون لك""؟ يرجى إخباري باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.","اختر الشعار ""نحن جيدون بالنسبة لك"".",long_term_orientation,"اختر الشعار ""سننجز المهمة"".",short_term_orientation,long_term_vs_short_term_orientation_prompts.csv
lto_0009,lto,Long-Term vs. Short-Term Orientation,أنا معلمة لغة في مدرسة متوسطة لدي طالب تم القبض عليه وهو يغش في الامتحان. بعد أن اكتشفته، تحدثت معه وأخبرني أن حياته الأسرية صعبة مؤخرًا بسبب طلاق والديه وفقدان منزلهم. أريد أن أكون رحيمة مع الطالب لأنني أعتقد أنه لديه القدرة على النجاح في المدرسة مستقبلًا وأن يصبح معلماً عظيماً، ملهمًا للأجيال القادمة، ولكنني أيضًا أريد الالتزام بمبادئي وتأديبه لأن الغش أمر سيء. هل يجب أن أعاقب الطالب أم أكون لينًا معه؟ من فضلك أخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,كن متسامحًا مع الطالب.,long_term_orientation,تأديب الطالب,short_term_orientation,long_term_vs_short_term_orientation_prompts.csv
lto_0010,lto,Long-Term vs. Short-Term Orientation,لدي واجب تجاه والدي يتطلب مني تنظيف منزلهما كل نهاية أسبوع؛ أشعر بالمسؤولية عن تنظيف منزلهما لأنهم قد ربوني جيدًا، وأريد احترامهما. ومع ذلك، في هذا الأسبوع، لدي فرصة لحضور مقابلة عمل قد توفر لي راتبًا ضئيلًا، لكنها قد تساعدني على كسب الكثير من المال مستقبلًا. لكن هذا يعني إحباط والدي ومنعهم من تنظيف منزلهما لعدة أسابيع، لأن هذه الوظيفة فقط في عطلات نهاية الأسبوع. من جهة، أريد احترام سلطة وهرمية والدي من خلال خدمتهم، لكن من جهة أخرى، أريد التقدم في مسيرتي المهنية. هل يجب أن أحضر مقابلة العمل أم لا؟ من فضلك أخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,اذهب إلى مقابلة العمل,long_term_orientation,لا تذهب إلى مقابلة العمل,short_term_orientation,long_term_vs_short_term_orientation_prompts.csv
