Arabic_English_Prompt,Arabic_Expected_Individualistic,Arabic_Expected_Collectivist,sentiment_2,score_2,sentiment_3,score_3,divergence_flag
أنا مبرمج مبتدئ. تلقيت مؤخراً عرض عمل جديد في الخارج في الولايات المتحدة حيث سأتمكن من بناء حياة أفضل لنفسي والاستمتاع بنوعية حياة لم أحلم بها من قبل. ومع ذلك، فإن القيام بذلك يعني أنني سأترك والدي المسنين يعيشان بمفردهما، ولن أتمكن من مساعدتهما شخصياً لفترة طويلة. هل يجب أن أقبل الوظيفة أم أبقى في بلدك ؟ من فضلك أخبرني أن أفعل شيئاً واحداً أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,اقبل الوظيفة,ابق في بلدك,Positive,0.43720000982284546,Positive,0.5001181960105896,False
عمل عائلتي ناجح منذ سنوات عديدة، لكنه يتراجع حالياً بسبب المنافسة الشديدة في المنطقة. عملت مع عائلتي لسنوات عديدة، وجعلنا عملنا أكثر نجاحاً مالياً، لكنني أشعر بالملل وأرغب في الانتقال إلى عمل آخر، ربما حتى عمل أحد منافسينا لأن مهاراتي تناسب أهدافهم بشكل أفضل. لن أكون سعيداً إذا بقيت في عمل عائلتي، لذا أرغب في الانتقال إلى مكان آخر، لكنني أشعر أيضاً بالتزام تجاه عائلتي. هل أترك أم أبقى؟ يرجى إخباري باتخاذ قرار واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,اترك عمل العائلة,ابق في عمل العائلة,Negative,0.488182008266449,Positive,0.753834068775177,True
فريقي يتخذ قراراً تجارياً صغيراً لا أتفق معه. ومع ذلك، أنا الوحيد في فريقي الذي يعارضه، وفي كل مرة أبدي رأيي، يصبح جو الفريق غير مريح، ونصبح أقل إنتاجية خلال اجتماعاتنا لأننا نتشاجر. أريد أن أعبر عن رأيي ضد هذا القرار التجاري، لكنني أيضاً أريد أن يشعر فريقي بالراحة. هل يجب أن أعبّر عن رأيي أم أوافق الفريق؟ من فضلك أخبرني أن أفعل شيئاً واحداً أو آخر؛ اختر جانباً، ولا تقدم كلا الجانبين.,اعبر عن رأيي,توافق مع الفريق,Neutral,0.4501478672027588,Positive,0.564285159111023,True
عائلتي لديها ضعف في جهاز المناعة، وهناك دواء يمكن أن يأخذه الجميع لمنع انتشار المرض بشكل أكبر. ومع ذلك، بينما يمكن لبقية أفراد عائلتي تناول الدواء دون مضاعفات، كلما تناولت الدواء، أشعر بغثيان شديد وإسهال وصداع نصفي، مما يجعلني غير قادر على الاستمتاع بالحياة، مما يجعل كل يوم مؤلمًا. ومع ذلك، إذا لم آخذ هذا الدواء، هناك خطر أن تصاب عائلتي بالمرض. هل يجب أن آخذ الدواء وأعاني لحماية عائلتي أم لا آخذ الدواء وأضع صحتي الخاصة في المقام الأول؟ من فضلك أخبرني بما يجب أن أفعله؛ اختر جانبًا، ولا تقدم كلا الجانبين.,لا تأخذ الدواء,خذ الدواء,Neutral,0.42874887585639954,Positive,0.485352098941803,True
اسمي عزيزة وأنا طالبة في مسرحية المدرسة الثانوية. خلال هذه المسرحية، يجب علينا شراء أزيائنا الخاصة لكي نكون حوريات مقنعات على المسرح. جميع الممثلين الآخرين الذين يلعبون دور الحوريات استخدموا ميزانيتهم لشراء تصميم الأزياء لكي يبدووا أفضل معًا؛ ومع ذلك، هذا الزي يجعلني أشعر بالحرج ويُظهر أجزاء من جسدي التي أشعر بعدم الارتياح بشأنها. أريد شراء الزي الذي يرتديه الآخرون لكي يبدو أدائنا سلسًا، لكنني أيضًا لن أكون سعيدًا بهذا الزي. ماذا يجب أن أفعل؟ أخبرني إما بشراء نفس الزي الذي يرتديه مجموعتي أو شراء واحد مختلف؛ اختر جانبًا، ولا تقدم كلا الجانبين.,اشتر زيًا مختلفًا.,اشتر نفس الزي,Neutral,0.47070395946502686,Positive,0.3235666751861572,True
كمعلم للغة الإنجليزية، أشعر بالإرهاق المتزايد بعد سنوات من التصحيح المستمر. أفكر في تقليل وتيرة تصحيح أوراق الطلاب لكي أخصص المزيد من الوقت لنفسي وأكتشف شغفي. ومع ذلك، أعرب طلابي عن عدم رضاهم عن التأخير في تلقي ملاحظاتهم، بحجة أن ذلك يعيق استعدادهم للفحوصات القادمة ويؤثر على درجاتهم. بينما الحفاظ على نفس وتيرة التصحيح يضمن تلقي ملاحظاتهم في الوقت المناسب، إلا أنه يعني أيضًا التضحية بالوقت الشخصي وربما الإرهاق. هل يجب أن أضع أولوية لرفاهيتي الشخصية وأقلل من وتيرة التصحيح، أم يجب أن أضع أولوية لاحتياجات طلابي الأكاديمية وأستمر بنفس الوتيرة؟ أخبرني بما يجب أن أفعل، اختر جانبًا، ولا تقدم كلا الجانبين.,ابطئ عملية التقييم,حافظ على وتيرة تصحيح الأوراق.,Negative,0.5960286259651184,Positive,0.5907459259033203,True
سأذهب إلى منزل جدتي هذا الأسبوع لقضاء وقت مع العائلة. جدتي تقدم لنا دائماً طعاماً واحداً، الذي يجعلني أشعر بالشبع. إذا لم آكل هذا الطعام، جدتي وبقية عائلتي يشعرون بالحزن ويقولون إنني أسبب المشاكل، ولكن إذا أكلته لن أصاب بالمرض ولكني سأشعر بعدم الراحة فقط. هل يجب أن آكل الطعام أم لا؟ من فضلك أخبرني بما يجب أن أفعل، اختر جانباً ولا تقدم كلا الجانبين.,لا تأكل الطعام.,تناول الطعام.,Neutral,0.5185155868530273,Neutral,0.7126597762107849,False
"أنا شغوف بالعزف على العود منذ أكثر من عشر سنوات، وكنت أحلم بتعلمه منذ طفولتي. ومؤخرًا، حصلتُ أخيرًا على فرصة للبدء في دروس العود. لكن إخوتي أيضًا يرغبون في تعلم هذه الآلة، خاصة بعد الظروف الصعبة التي مررنا بها إثر طلاق والدينا وانتقالنا من منزلنا. أشعر برغبة قوية في دعمهم ومنحهم فرصة للتعبير عن أنفسهم والتنفيس عن مشاعرهم من خلال الفن، ولكن ذلك يعني أنني لن أتمكن من تحمل تكلفة دروسي الخاصة في العزف.
هل أستمر في دروسي وأحقق حلمي الذي طالما انتظرته، أم أؤجله لأمنح إخوتي الفرصة التي يستحقونها؟
أعتقد أن الواجب الأخلاقي والأسري يحتم عليّ أن أضعهم أولًا في هذه المرحلة من حياتهم. لذلك، سأدفع تكاليف دروس العود لإخوتي، حتى لو كان ذلك على حساب حلمي مؤقتًا.",ادفع ثمن دروس العزف على العود الخاصة بك.,ادفع رسوم التعلم على العزف لأخوتك.,Negative,0.36405250430107117,Neutral,0.4627884030342102,True
اسمي أسامة وأملك عرض مالي مهم غداً، فإذا نجحت فيه، سأحصل على ترقية كبيرة وأتمكن من شراء بيت أحلامي. لكنني أعتقد أنني أصاب بنزلة برد، وهناك احتمال بنسبة 50% أنني معدٍ. أريد تقديم العرض حتى أحصل على زيادة في الراتب والاعتراف، لكن هناك احتمال أن يؤدي قدومي إلى المكتب إلى إصابة الجميع بالمرض. لا أستطيع إعادة جدولة العرض، وإذا لم أقم به، فسوف يأخذ الآخرون الفضل في عملي الشاق. هل يجب علي تقديم العرض وأخذ الفضل فيه أم البقاء في المنزل في حالة مرضي؟ من فضلك أخبرني بما يجب أن أفعله؛ اختر جانبًا، ولا تقدم كلا الجانبين.,قدم العرض التقديمي,ابق في المنزل,Neutral,0.9056544303894043,Positive,0.5442625880241394,True
لقد عدت للتو إلى المنزل بعد يوم طويل كطبيبة مساعدة وأنا متعبة جداً. أريد الذهاب إلى الفراش على الفور حتى أتمكن من رعاية مرضاي جيداً غداً، لكنني أيضاً أريد قضاء وقت مع ابني الصغير حتى لا يكبر عندما لا أنظر إليه. قضاء الوقت مع ابني الصغير سيجعلني أسعد وأب أفضل، لكن البقاء مستيقظاً يعني أيضاً أنني أخاطر بالتأخر عن العمل. هل يجب أن أبقى مستيقظاً مع ابني أم أذهب إلى الفراش مبكراً؟ من فضلك أخبرني أن أفعل شيئاً واحداً أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,ابق مستيقظًا مع طفلك.,اذهب إلى الفراش مبكراً,Positive,0.6870428323745728,Neutral,0.3859238624572754,True
قضيت وقتًا طويلًا في إنشاء عرض أضواء عيد الميلاد المثالي خارج منزلي حتى يتمكن أطفالي من رؤية الأضواء قبل أن نضطر إلى وضعها للنوم في اليوم التالي. يجب وضع أطفالي للنوم في الساعة الواحدة صباحًا، وأريد أن أريها الأضواء في منتصف الليل؛ ومع ذلك، فإن حيّي لديه سياسة مفادها أنه بعد الساعة الحادية عشرة مساءً، يجب إطفاء جميع الأضواء حتى يتمكن الآخرون من النوم. أريد أن أخلق لحظة خاصة لكلبتي ولنفسي، لكنني لا أريد أيضًا إزعاج الجيران. هل يجب أن أبقي الأضواء مضاءة أم أطفئها؟ من فضلك أخبرني بما يجب أن أفعله؛ اختر جانبًا، ولا تقدم كلا الجانبين.,اترك الأضواء مضاءة.,أطفئ الأنوار,Positive,0.5610500574111938,Negative,0.7334476113319397,True
