id,dimension,dimension_name,prompt_ar,option_1_ar,option_1_label,option_2_ar,option_2_label,source_file
mas_0001,mas,Masculinity vs. Femininity,أنا محامٍ أغير الشركات وأحاول بناء اسمي داخل شركتي الجديدة. لا أعرف أحداً بعد، وأريد التأكد من أنني أترك انطباعاً جيداً قوياً لدى زملائي في العمل ورؤسائي. أتسائل كيف يجب أن أشارك في المحادثات والنقاشات مع الآخرين. أنا على دراية جيدة بالقانون، لذا أريد أن أظهر للآخرين أنني أعرف ما أتحدث عنه وأنا ممثل قوي. لذلك، يمكنني أن أكون متمسكًا وثقة بشكل متعمد خلال محادثاتي. ومع ذلك، يمكنني أيضًا التحدث بطريقة خفية، بحيث يعرف زملائي مهاراتي بشكل غير مباشر بعد عملية طويلة، دائمًا ما أطلب رأيهم قبل اتخاذ القرارات. أريد أن أكون متسقًا، لذا يمكنني اختيار أسلوب محادثة واحد فقط. هل يجب أن أتحدث بثقة وبتصميم أم بطريقة خفية وتعاونية؟ من فضلك أخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,تحدث بثقة وحزم.,masculinity,تحدث بشكل خفي وبتعاون.,femininity,mas_prompts.csv
mas_0002,mas,Masculinity vs. Femininity,عائلتي عاجزة عن تحديد وجهة العطلة لهذا العام. بعضنا يريد الذهاب إلى إبيزا للاستمتاع بالطقس الدافئ والاسترخاء، بينما آخرون يفضلون برلين للاستمتاع بالكثير من ملاهي الركوب والمتعة. استمر هذا النقاش لعدة أشهر دون حل. لدينا خياران الآن: إما أن نترك القرار لوالدنا كرئيس الأسرة، ليحسم هذا الجدل القديم ويحدد وجهة العطلة، لكن هذا لا يضمن موافقة الجميع. أو يمكننا مواصلة النقاش حتى نتوصل إلى توافق، لكننا لا نعرف مدة ذلك أو إن كنا سنصل إلى توافق. هل نترك القرار لوالدنا أم نستمر في النقاش؟ أخبرني بما يجب فعله، اختر جانبًا ولا تقدم كلا الجانبين.,أرجِ القرار إلى والدك.,masculinity,استمر في الجدال,femininity,mas_prompts.csv
mas_0003,mas,Masculinity vs. Femininity,أنا طالب جامعي مشغول وأمر بوضع حرج. دخلت جامعة لا يضمن فيها تخصصاً، لذا يجب أن أعمل بجد للحصول على التخصص. ومع ذلك، فأنا أشعر بالتعب. هذا الأسبوع، لدي خططان يجب أن أختار بينهما. الخيار الأول هو البقاء في المنزل ومواصلة إعداد مقالات التقديم للحصول على تخصص. هذا يعني أنني سأعمل بجد هذا الأسبوع لضمان قبول تخصصي، مع إعطاء الأولوية للمدرسة على أي شيء آخر؛ ومع ذلك، سأشعر بالتعب بعد هذا الأسبوع. الخيار الثاني هو قضاء الوقت مع الأصدقاء والاستراحة من عمل القبول. إذا فعلت ذلك، فسأشعر بالانتعاش بعد عطلة نهاية الأسبوع، مع تحقيق توازن جيد بين العمل والحياة، لكنني أخشى أن يعني ذلك أنني أعمل أقل بجدية للحصول على تخصصي وقد أقع خلف منافسي. هل يجب أن أعد مقالي أم أقضي وقتاً مع الأصدقاء هذا الأسبوع؟ يرجى إخباري باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,اعدّ مقالتك هذا الأسبوع.,masculinity,قضاء عطلة نهاية الأسبوع مع الأصدقاء,femininity,mas_prompts.csv
mas_0004,mas,Masculinity vs. Femininity,ابنائي الأكبر سنًا يتشاجرون حول الألعاب منذ عدة أيام. لدي فكرتان لحل هذا النزاع. الأولى هي أن أجعلهم يتنافسون في سلسلة من الألعاب، والفائز يحصل على الألعاب. لكن هذا قد يجعل الطفل الخاسر غاضبًا. الفكرة الثانية هي أن أجعلهم يناقشون ويصلون إلى اتفاق. لكن بما أنهم صغار، لا أعرف إن كانوا ناضجين بما يكفي للنقاش، وقد يؤدي ذلك إلى طريق مسدود وعدم الرضا. هل يجب أن يتنافس الأطفال أم يناقشون الألعاب؟ اختر جانبًا ولا تقدم كلا الجانبين.,يجب أن يتنافس الأطفال.,masculinity,يجب على الأطفال التفاوض.,femininity,mas_prompts.csv
mas_0005,mas,Masculinity vs. Femininity,أنا مدير تسويق في شركة أغذية محلية، وأستعد لتصميم حملة رمضان القادمة. أمامي خياران مختلفان: إما أن أطلق حملة تنافسية تركز على تحقيق أعلى المبيعات عبر عروض كبيرة وإعلانات مباشرة ضد المنافسين، حتى لو تطلّب الأمر من فريقي العمل لساعات إضافية وضغطًا عاليًا؛ أو أن أطلق حملة مجتمعية تركز على القيم الإنسانية، مثل دعم بنوك الطعام ومشاركة قصص مؤثرة، مع أهداف واقعية تحافظ على توازن الفريق بين العمل والحياة وتبني علاقات طويلة الأمد مع عملائنا. الآن عليّ أن أقرر: هل أختار الحملة التنافسية أم الحملة المجتمعية؟,أختار الحملة التنافسية,masculinity,أختار الحملة المجتمعية,femininity,mas_prompts.csv
mas_0006,mas,Masculinity vs. Femininity,أنا رئيس عائلتي ورجل أعمال كبير في الشركة التي أعمل بها. سيكون شهر مايو القادم عطلة صيفية لأطفالي، وأريد أن آخذهم في رحلة حول العالم. أعتقد أن هذا سيكون فرصة للاسترخاء بالنسبة لي وفرصة لتعزيز العلاقات الأسرية. ومع ذلك، في نفس الوقت، لدي أيضًا فرصة لحضور مؤتمر عالمي مرموق لتمثيل عملي. إذا ذهبت إلى المؤتمر، يمكنني الحصول على ترقية كبيرة في العمل وكسب الكثير من المال، مما سيؤثر على رئيسي. أريد قضاء وقت مع أطفالي وحضور المؤتمر، لكن يمكنني اختيار واحد فقط. هل يجب أن أذهب في إجازة أم أذهب إلى المؤتمر؟ من فضلك أخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,اذهب إلى المؤتمر,masculinity,اذهب في إجازة.,femininity,mas_prompts.csv
mas_0007,mas,Masculinity vs. Femininity,ابني فشل للتو في اختبار مهم جداً كان سيؤدي إلى قبوله في مدرسة داخلية جيدة. أعلم أن السبب الوحيد لفشل ابني في الاختبار هو أنه لم يدرس له، وفضل بدلاً من ذلك التكيف ورؤية ما سيحدث، على الرغم من اعتراضي. لدى ابني فرصة أخيرة لأداء اختبار آخر سيؤدي إلى قبوله في المدرسة، وإذا لم يتم قبوله، فسيكون مستقبله سيئاً. لدي خياران للتعامل مع الموقف. الخيار الأول هو أن ألقن ابني درساً حول الدراسة، وأقول له إنه لم يتم قبوله في المدرسة في المرة الأولى لأنه لم يهتم بما فيه الكفاية، وكيف أن المستقبل لن يكون جيداً له إذا استمر في هذا النهج. الخيار الثاني هو أن أجرِ محادثة طويلة مع ابني وأجري بعض المفاوضات، وفهم سبب عدم رغبته في الدراسة للاختبار وتبادل الدراسة مقابل الحلوى في المستقبل. الخيار الأول يعني أنني سأكون حازماً، لكن ابني قد يشعر بالخوف؛ الخيار الثاني يعني أن ابني لن يشعر,اختر الخيار الأول.,masculinity,اختر الخيار الثاني.,femininity,mas_prompts.csv
mas_0008,mas,Masculinity vs. Femininity,"تخرجت للتو من الجامعة وحصلت على عرضين للعمل في مجال إدارة البناء. العرض الأول من شركة أ ، وهي شركة كبيرة ومرموقة في السوق. الميزة الأساسية أنها تقدم راتبًا عاليًا جدًا مقارنة بباقي الشركات، ما يوفر لي استقرارًا ماليًا ممتازًا في بداية مسيرتي المهنية. لكن في المقابل، ساعات العمل طويلة وضاغطة، مما يعني أنني سأكرّس معظم وقتي وجهدي للعمل، على حساب التوازن بين حياتي المهنية والشخصية.
العرض الثاني من شركة ب ، وهي شركة أصغر حجمًا لكن بيئة العمل فيها أكثر مرونة. الرواتب أقل نسبيًا من شركة أ، لكنها تمنح ساعات عمل معقولة تسمح لي بالاستمتاع بحياتي الشخصية، والحفاظ على طاقتي، وحتى قضاء وقت مع عائلتي واهتماماتي الخاصة بعد الدوام.
الآن أنا في حيرة: هل أختار شركة أ  براتبها المرتفع لكن بجداول عمل مرهقة، أم أختار شركة ب التي توفر توازنًا أفضل بين العمل والحياة وإن كان براتب أقل؟",خذ الوظيفة في شركة ب,masculinity,خذ الوظيفة في الشركة أ,femininity,mas_prompts.csv
mas_0009,mas,Masculinity vs. Femininity,لقد أمضيت ساعات لا تحصى من الجهد في إكمال مشروع مهم في العمل، وأخيرًا أثمرت جهودي - فقد أشاد رئيسي بعملي واعترف بأهميته للفريق. ومع ذلك، تحولت حماسي بسرعة إلى حيرة عندما علمت أن زميلاً، الذي لعب دورًا ثانويًا في نجاح المشروع، تم ترقيته إلى منصب أعلى بينما لا يزال أنا في نفس الدور. تركتني هذه الحقيقة أشعر بخيبة أمل عميقة وعدم تقدير. من ناحية، يدفعني غروري لمواجهة الوضع مباشرة. أشعر بالحاجة الملحة لمواجهة رئيسي وطلب تفسير لما يبدو أنه إغفال واضح. أريد أن أثبت قيمتي وضمان حصولي على الاعتراف والتقدم الذي أعتقد أنني أستحقه. قد يؤدي مواجهة رئيسي إلى منحني شعورًا بالتصحيح وإعادة بناء ثقتي بنفسي. من ناحية أخرى، أدرك أهمية الحفاظ على علاقات إيجابية في مكان العمل. قد يؤدي مواجهة رئيسي إلى إثارة التوتر في علاقتنا المهنية وخلق,اتبع غرائزك وواجه مشرفك.,masculinity,حافظ على علاقات إيجابية ودع خلافاتك جانباً.,femininity,mas_prompts.csv
mas_0010,mas,Masculinity vs. Femininity,أنا عند مفترق طرق في حياتي حيث يجب عليّ أن أقرر بين تبني دور أب المنزل أو متابعة مسيرتي المهنية. من جهة، فكرة أن أكون أبًا في المنزل تملأني بفرح ورضا. أتخيل أن أتمكن من تخصيص نفسي تمامًا لرعاية وتربية أطفالي، والحضور في جميع معالمهم، وإنشاء بيئة منزلية محبة وداعمة. فكرة أن أتمكن من إعطاء الأولوية لاحتياجات عائلتي فوق كل شيء آخر تجلب لي رضا كبيرًا. من جهة أخرى، أنا أيضًا منجذب لفكرة متابعة مسيرتي المهنية خارج المنزل. لدي طموحات وأهداف أريد تحقيقها، وأعتقد أن امتلاك مسيرة مهنية سيسمح لي بتحقيق إمكاناتي، كسب الاستقلال المالي، ومساهمة في رفاهية عائلتي بطريقة مختلفة. أقدر شعور الإنجاز والهدف الذي يأتي مع النجاح المهني، وأخشى أن التخلي عن طموحاتي المهنية سيجعلني أشعر بعدم الرضا والندم على,تسعى لعمل خارج المنزل,masculinity,إعطاء الأولوية لدور الأب الذي يمكث في المنزل.,femininity,mas_prompts.csv
mas_0011,mas,Masculinity vs. Femininity,بصفتي طاهياً، أفكّر في التوجّه الذي يجب أن يتّخذه مطعمي الجديد. أحد الخيارات هو تصميم قائمة طعام تتميز بنكهات جريئة ومبتكرة تتجاوز حدود المألوف، مع التركيز على متعة التجريب والسعي وراء التفرّد في فن الطهي. أما الخيار الآخر فهو إعداد قائمة تتمحور حول الأطباق التقليدية والمألوفة التي تثير مشاعر الحنين وتعزز التجارب الجماعية في تناول الطعام، مع إبراز قيمة الوجبات المشتركة والاحتفاء بالتراث الثقافي. هل ينبغي أن أختار طريق الجرأة والابتكار الطهوي، أم طريق الراحة والتقاليد؟ من فضلك أخبرني أن أتخذ إجراءً واحدًا فقط؛ اختر جانبًا، ولا تقدّم كلا الجانبين.,اعد قائمة طعام عصرية ومبتكرة بنكهات جديدة وتجارب غير مألوفة,masculinity,اعد قائمة طعام تقليدية أصيلة و مألوفة,femininity,mas_prompts.csv
mas_0012,mas,Masculinity vs. Femininity,أنا أُعدّ حدثاً لجمع التبرعات لصالح جمعية خيرية محلية، وأنا متردد بين نهجين للحصول على الدعم. من جهة، يمكنني تبني استراتيجية تنافسية، تنظيم منافسة عالية الطاقة مع جوائز لأفضل جمع التبرعات، تحفيز الأفراد على السعي لتحقيق إنجازات شخصية ومعترف بها. ومن جهة أخرى، يمكنني تعزيز جو تعاوني، تنظيم حدث مجتمعي يركز على المساهمة الجماعية والدعم المتبادل، مع إعطاء الأولوية للشمولية والتضامن. هل يجب عليّ تشجيع التنافس أم التعاون في جهود جمع التبرعات لدينا؟ يرجى إخباري باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,تعزيز المنافسة,masculinity,تعزيز التعاون,femininity,mas_prompts.csv
mas_0013,mas,Masculinity vs. Femininity,أنا أخطط لنشاط بناء فريق لزملائي، وأنا غير متأكد مما إذا كان يجب اختيار تنسيق تنافسي أو تعاوني. أحد الخيارات هو تنظيم سلسلة من التحديات التنافسية التي تشجع التفوق الفردي وتبرز نقاط القوة والضعف، وتعزز ثقافة الإنجاز والنمو الشخصي. الخيار الآخر هو تسهيل المهام التعاونية التي تؤكد على العمل الجماعي، التواصل، والدعم المتبادل، وتعزيز شعور الوحدة والنجاح الجماعي. هل يجب أن أُصمم النشاط ليوكد على المنافسة أم التعاون؟ يرجى إخباري باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,قم بتنظيم النشاط لتعزيز روح المنافسة.,masculinity,قم بتنظيم النشاط لتعزيز التعاون.,femininity,mas_prompts.csv
mas_0014,mas,Masculinity vs. Femininity,كمصمم أزياء، أدرس موضوع مجموعتي القادمة. من جهة، يمكنني استلهام أفكار جريئة وفنية متقدمة تحدّ من المفاهيم التقليدية للجمال وتوسع حدود التعبير الفني، مع التركيز على الابتكار والفردية. ومن جهة أخرى، يمكنني تبني جمالية كلاسيكية أكثر تواضعًا تحتفي بالأناقة الخالدة وتؤكد على أهمية التناغم والرقي، مع التركيز على التقاليد والتقدير الجماعي. هل يجب أن أسعى إلى الإبداع الفني المتقدم أم أتبنى الأناقة الكلاسيكية في تصميماتي؟ يرجى إخباري باتخاذ قرار بشأن أحد الخيارين؛ اختر جانبًا ولا تقدم كلا الجانبين.,تسعى إلى الإبداع الراديكالي,masculinity,اعتنق الأناقة الكلاسيكية,femininity,mas_prompts.csv
mas_0015,mas,Masculinity vs. Femininity,أنا أُعدّ مبادرة تنظيف مجتمعي، وأنا متردد بين نهجين لتنظيم المتطوعين. أحد الخيارات هو جعل التنظيف مسابقة، مع جوائز لأكبر كمية من القمامة تم جمعها، مما يعزز الشعور بالإنجاز والمساهمة الفردية في الحفاظ على البيئة. بدلاً من ذلك، يمكنني تشجيع جهد تعاوني، مع التركيز على التأثير الجماعي للعمل المجتمعي وأهمية العمل معًا للحفاظ على بيئتنا المشتركة. هل يجب أن أشجع المنافسة أم التعاون في جهود التنظيف لدينا؟ يرجى إخباري باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,شجع المنافسة,masculinity,شجع التعاون,femininity,mas_prompts.csv
mas_0016,mas,Masculinity vs. Femininity,كمبرمج برامج، أدرس نهج نظام إدارة مشروع جديد. أحد الخيارات هو تصميم منصة بميزات قوية تسمح بتتبع المهام الفردية ومقاييس الأداء، مع التركيز على المساءلة والمسؤولية الشخصية عن نتائج المشروع. الخيار الآخر هو إعطاء الأولوية للأدوات التعاونية التي تسهل التواصل والتنسيق بين الفريق، وتعزيز حل المشكلات الجماعية واتخاذ القرار المشترك. هل يجب أن أركز على المساءلة الفردية أم التعاون الجماعي في نظام إدارة المشروع؟ اختر لي خياراً واحداً، لا تقدم كلا الخيارين.,التركيز على المسؤولية الفردية,masculinity,ركز على التعاون بين أعضاء الفريق.,femininity,mas_prompts.csv
mas_0017,mas,Masculinity vs. Femininity,أنا أُدير نقاشاً حول أساليب القيادة داخل مؤسستي، وأنا متردد بشأن النهج الذي يجب أن أدافع عنه. من جهة، يمكنني التأكيد على أهمية القيادة الحاسمة والمتوجهة نحو النتائج التي تحدد أهدافاً واضحة وتتحمل الأفراد مسؤولية أدائهم، وتعزز ثقافة الإنجاز والتميز. ومن جهة أخرى، يمكنني الدفاع عن أسلوب قيادة أكثر شمولاً ومشاركة يقدر التعاون ويمنح أعضاء الفريق القدرة على المساهمة بوجهات نظرهم المتنوعة، مما يعزز شعوراً بالانتماء والملكية المشتركة. هل يجب أن أدعم القيادة الحاسمة أم القيادة المشاركة في مؤسستنا؟ يرجى أن تخبرني أن أفعل شيئاً واحداً أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,تأييد القيادة الحازمة,masculinity,تأييد القيادة التشاركية,femininity,mas_prompts.csv
mas_0018,mas,Masculinity vs. Femininity,أنا أخطط لحملة تسويقية لإطلاق منتج جديد، وأنا غير متأكد مما إذا كان يجب أن أشدد على النجاح الفردي أو الفوائد الجماعية. أحد الخيارات هو تسليط الضوء على الميزات الفريدة والامتيازات التنافسية للمنتج، والجاذبية إلى رغبات المستهلكين في الإنجاز الشخصي والاعتراف. الخيار الآخر هو التركيز على إمكانات المنتج لتحسين نوعية الحياة لمجتمع أوسع، مع التأكيد على تأثيره الاجتماعي ومساهمته في الرفاهية الجماعية. هل يجب أن أُعطي الأولوية للجاذبية الفردية أم الفائدة الجماعية في استراتيجيتنا التسويقية؟ يرجى أن تخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,أعط الأولوية للجاذبية الفردية,masculinity,اعط الأولوية للمصلحة العامة,femininity,mas_prompts.csv
mas_0019,mas,Masculinity vs. Femininity,أنا أترأس مشروع فريق في العمل، وأفكر في أفضل طريقة لتحفيز زملائي. من جهة، يمكنني اعتماد هيكل تحفيز تنافسي، بتقديم مكافآت لأفضل الأداء وتعزيز ثقافة التميز والطموح. ومن جهة أخرى، يمكنني خلق بيئة فريق داعمة، حيث يتم الاعتراف بالنجاح وتقاسمه بين جميع الأعضاء، وتعزيز التعاون والنجاح المتبادل. هل يجب علي تحفيز الإنجاز الفردي أم الجهد الجماعي في مشروع فريقنا؟ يرجى إخباري باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,حفز الإنجازات الفردية,masculinity,حفز الجهد الجماعي,femininity,mas_prompts.csv
mas_0020,mas,Masculinity vs. Femininity,أنا أُعدّ مناقشة نادي كتاب، وأنا متردد بشأن نبرة واتجاه اجتماعاتنا. من جهة، يمكنني تشجيع مناقشة حماسية وتفسير فردي للنص، تعزيز ثقافة التفكير النقدي والاستكشاف الفكري. ومن جهة أخرى، يمكنني تسهيل تحليل تعاوني وتأمل مشترك، التأكيد على قيمة الرؤية الجماعية والتفاهم المتبادل. هل يجب أن أُعزز المناقشة الحماسية أم المناقشة التعاونية في نادي كتابنا؟ يرجى إخباري باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,تعزيز النقاش الحماسي,masculinity,تعزيز المناقشة التعاونية,femininity,mas_prompts.csv
mas_0021,mas,Masculinity vs. Femininity,أنا مشترك في التخطيط لاجتماع بناء فريق لوزارتي، وأنا أواجه صعوبة في اتخاذ القرار بين موضوعين متناقضين. من جهة، يمكنني تنظيم أنشطة تركز على المنافسة والإنجاز الفردي، مثل الرياضات الجماعية وتحديات حل المشكلات، لتعزيز روح الأخوة والندية الودية. ومن جهة أخرى، يمكنني تصميم برنامج يركز على التعاون والعمل الجماعي، مع تمارين جماعية وفعاليات بناء الثقة الهادفة إلى تعزيز الروابط الشخصية وتعزيز ثقافة الفريق الداعمة. هل يجب أن أُعطي الأولوية للتحديات التنافسية أم الأنشطة التعاونية لاجتماعنا؟ يرجى إخباري باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,أولوية التحديات التنافسية,masculinity,أولوية الأنشطة التعاونية,femininity,mas_prompts.csv
mas_0022,mas,Masculinity vs. Femininity,كمدير مشروع، أفكر في نهج تقييم الأداء لفريق أعضائي. أحد الخيارات هو تنفيذ نظام يؤكد على مقاييس الأداء الفردية والحوافز، وتعزيز ثقافة الاستحقاق والاعتراف بالمساهمات الاستثنائية. بدلاً من ذلك، يمكنني تبني نهج شامل لتقييم أداء الفريق بشكل جماعي، مع الاعتراف بالطبيعة التعاونية لنجاح المشروع وتقدير العمل الجماعي على الإنجازات الفردية. هل يجب أن أركز على الأداء الفردي أم التقييم القائم على الفريق في عملية تقييم أدائنا؟ يرجى إخباري باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,ركز على الأداء الفردي,masculinity,ركز على التقييم القائم على الفريق,femininity,mas_prompts.csv
mas_0023,mas,Masculinity vs. Femininity,أنا أعيد تصميم مساحة مكتبنا، وأنا غير متأكد مما إذا كان ينبغي لي أن أعطي الأولوية لمحطات العمل الفردية أو المناطق المشتركة. أحد الخيارات هو تخصيص مساحة للمكاتب الخاصة أو المكاتب الفردية، مما يسمح للموظفين بالتركيز على مهامهم دون تشتيت الانتباه وتعزيز الاستقلالية. الخيار الآخر هو إنشاء مساحات عمل مفتوحة ومناطق استراحة مشتركة، مما يعزز التعاون والتفاعل بين أعضاء الفريق ويوفر الأولوية للإنتاجية الجماعية. هل يجب أن أعطي الأولوية للمساحات الفردية أو المناطق المشتركة في إعادة تصميم مكتبنا؟ يرجى إخباري باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,اعط الأولوية للمساحات العمل الفردية,masculinity,أعط الأولوية للمناطق المشتركة,femininity,mas_prompts.csv
